"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"165","PILRA",1.60838136016936,7.70825037736448,16.6225373488857,1.38101032480469e-32,1.63023295583236e-30,63.6053601389307
"166","SEMA6A",2.82157337886609,8.79467972853701,16.6213956152435,1.38885640578995e-32,1.63023295583236e-30,63.5997189405618
"167","MGC3101",-2.07055138759276,7.15721161657044,-16.618685387764,1.40766116429841e-32,1.64241184349428e-30,63.5863273133654
"168","LOC149620",4.18198583735537,7.46906916554973,16.6128048544494,1.44934759450226e-32,1.68098439755218e-30,63.5572676071495
"169","PGM5",1.78117033414864,7.22305906123301,16.6038219197367,1.51543463449858e-32,1.74723336409496e-30,63.5128685385423
"170","SH2D3C",1.39505992408554,7.02980533247325,16.5907536534758,1.61702363960213e-32,1.85339444809691e-30,63.4482594141731
"171","PTGER4",1.97805662329958,9.24532300754075,16.5187621324822,2.31267854688818e-32,2.63523634421732e-30,63.0919557852677
"172","CD52",2.77550091350869,11.399816076344,16.5045159553684,2.48255792731177e-32,2.81236286125988e-30,63.0213719045938
"173","AFF3",1.00250833894811,5.78968069787498,16.5030252426942,2.50104352368289e-32,2.81692676641393e-30,63.0139845927025
"174","FLJ21986",2.27460311639423,8.70451159515738,16.4801986378879,2.80201761077753e-32,3.13777661758622e-30,62.90083173812
"175","MAMDC2",3.40012964904422,9.30187785129393,16.4703140020372,2.94340065999398e-32,3.27726639199901e-30,62.8518130272195
"176","PRKCH",1.3548393783824,10.0509954837175,16.4600555013816,3.09771878828566e-32,3.42949151078103e-30,62.80092753216
"177","VGLL3",2.18944566466301,6.59482008434495,16.4585015252301,3.12179408445718e-32,3.43661908111007e-30,62.7932181727366
"178","SERINC2",-2.81505639317905,8.75117775582339,-16.4485531682851,3.28043980148364e-32,3.59097581639937e-30,62.7438567771699
"179","PCOLCE2",3.36158581073618,8.59343521930383,16.3643112747609,4.99388222207595e-32,5.43607793838826e-30,62.3253794960088
"180","CLDN5",2.71035415174265,10.9608942621628,16.3494581864973,5.37843344168853e-32,5.82215420062783e-30,62.2515052341077
"181","FBLN5",2.09970298052026,9.21605942542451,16.3285722125945,5.97006180272359e-32,6.42688697381597e-30,62.1475795938464
"182","SRGN",2.40850417007864,11.5243016692594,16.3148908187662,6.39263997667978e-32,6.84398845854975e-30,62.0794739028298
"183","C10orf116",2.98061996634601,12.5577612549748,16.3102294526634,6.54337826247845e-32,6.96708882209795e-30,62.0562644772597
"184","PROM2",-2.71609478691032,9.26476784990737,-16.302083398102,6.8154302915866e-32,7.20357798118182e-30,62.0156980313224
"185","LOC387758",1.83263060352657,6.01172139517481,16.3013806786985,6.83942482175334e-32,7.20357798118182e-30,62.0121981857669
"186","GPR30",2.02115515221624,7.41117469761359,16.2939568947418,7.09815634683812e-32,7.40243854992332e-30,61.9752208452988
"187","AGTR1",1.89432765719546,6.38203309856939,16.2937863712203,7.10421354290819e-32,7.40243854992332e-30,61.9743714004235
"188","C14orf139",1.71927026946154,6.4925686889699,16.2783254143009,7.67555597123296e-32,7.95522383507842e-30,61.8973394806005
"189","FGD5",2.26511746428302,8.9817439487813,16.2770021483299,7.72655043150716e-32,7.96570556391095e-30,61.8907451449162
"190","LILRA5",1.83703566244081,6.93867125940829,16.2362111499354,9.47720583672034e-32,9.71912398571031e-30,61.6873630767396
"191","CD300C",2.36738243814899,6.83856433748412,16.2239053908492,1.00798660743014e-31,1.02683546017345e-29,61.625967192799
"192","DCN",2.94426842652582,10.6361969023646,16.2231485746619,1.01181631179524e-31,1.02683546017345e-29,61.622190682482
"193","MYCT1",1.23471045174099,5.70689332960984,16.2179483430748,1.03852931982889e-31,1.04848413455264e-29,61.5962396530269
"194","PFC",1.22291976776688,5.91237057824272,16.1902643971178,1.19313695569858e-31,1.19836461761788e-29,61.4580312550787
"195","SELP",2.01328750509656,6.58526495162748,16.1818698205199,1.24444105001178e-31,1.24085926338613e-29,61.4161039922533
"196","ST6GALNAC3",1.05992089216284,5.57896529817585,16.1812712563778,1.24818278482772e-31,1.24085926338613e-29,61.4131140965005
"197","CALCRL",2.96391303716782,7.86149504037114,16.1618920150631,1.37563236965634e-31,1.36061912298243e-29,61.3162890152339
"198","KAL1",3.04777316012495,9.02761123247857,16.1514659364643,1.44953014844523e-31,1.42646944153815e-29,61.2641779760888
"199","C3orf54",1.94117470098421,8.16029250430195,16.1352746949054,1.57227771353241e-31,1.53948900744618e-29,61.1832256171536
"200","ANGPT1",2.49085700067875,7.891178046047,16.1159546027541,1.73249145543995e-31,1.68787980046237e-29,61.0865880624561
"201","FZD4",1.88840273188293,9.6584676346803,16.1062855222704,1.81873347390945e-31,1.75834992894356e-29,61.0382070782922
"202","MUSTN1",1.57665023136501,6.77618798127486,16.1058331452893,1.82287239233563e-31,1.75834992894356e-29,61.0359432508252
"203","P4HB",-1.09236391925478,13.0770426833346,-16.1001710257344,1.87548428759262e-31,1.80018775092326e-29,61.0076062390169
"204","RAMP3",2.7442862814038,8.58054847429264,16.0898340374613,1.9755019985198e-31,1.88689492358619e-29,60.9558630455439
"205","FEZ1",1.18060669619944,6.99517726998456,16.0818341011963,2.05657203307006e-31,1.95474663728635e-29,60.9158093897138
"206","FLJ13909",-2.1290550225262,6.18739372857643,-16.0760472608197,2.11729101982146e-31,1.99632242373842e-29,60.8868313106334
"207","MSRB3",1.95517384849956,6.96865579139742,16.0757175371822,2.12080442244728e-31,1.99632242373842e-29,60.8851800702334
"208","ABCA9",1.2026558190292,5.98442774896659,16.0672146766319,2.21345907599963e-31,2.07352163922369e-29,60.8425935980658
"209","CRTAC1",3.5837774091953,9.51876430842784,16.0608649818008,2.28529442632166e-31,2.13057233956352e-29,60.810785520019
"210","CCDC48",1.90327630219459,6.2955234222785,16.0594575865697,2.30153108936387e-31,2.13549206077404e-29,60.8037346720237
"211","CAT",1.75508397792212,9.91724949836951,16.048050940152,2.43747597412558e-31,2.25091086994488e-29,60.7465801679373
"212","GMFG",1.84639067964163,10.0481510671886,16.0403147370219,2.53424028609719e-31,2.32922981012281e-29,60.7078079464858
"213","C10orf128",1.7276439393322,6.52259355253607,16.0188894484179,2.82285754343402e-31,2.58231827388788e-29,60.600391150756
"214","RASL12",2.1571233734181,9.27305712627382,16.0072387614793,2.99343876567867e-31,2.72556796024528e-29,60.5419565559868
"215","MGC10993",-1.08816139637351,8.1282254411618,-15.9933827621848,3.20984648587267e-31,2.90901668731298e-29,60.472439784475
"216","ADRB2",2.43659576124724,9.20550787302229,15.9441016140744,4.11510953012135e-31,3.71217172196363e-29,60.2250044506105
"217","COL13A1",1.93481183195784,7.39772131729599,15.9409642428118,4.18075472072472e-31,3.75400948079821e-29,60.209242151961
"218","TNNC1",3.31397197990321,9.13908636006408,15.9276089582383,4.47217596973352e-31,3.99726370505769e-29,60.1421313466173
"219","LOC641700",2.40757442485168,6.39576565856891,15.9240845679275,4.55242808199566e-31,4.05041375240573e-29,60.1244175796444
"220","IL33",3.1380848770048,8.04673202219667,15.9021118173509,5.08644141658886e-31,4.50496868191972e-29,60.013947777252
